title,release_date,popularity,vote_average,genre_ids,genre_names,type
Star Trek,08/09/1973,42.909,6.8,"[16, 18, 10765]","Sci-Fi & Fantasy, Drama",tvshow
Star Trek,08/09/1973,42.909,6.8,"[16, 18, 10765]","Animation, Drama, Sci-Fi & Fantasy",tvshow
Lost,22/09/2004,619.017,7.945,"[9648, 10759, 18]","Mystery, Action & Adventure, Drama",tvshow
The Price Is Right,04/09/1972,618.611,6.069,[10764],Reality,tvshow
The Price Is Right,24/03/1984,35.126,0.0,[],Reality,tvshow
Suits,23/06/2011,610.423,8.22,[18],Drama,tvshow
American Dad!,06/02/2005,607.769,6.942,"[16, 35]","Animation, Comedy",tvshow
Law & Order,13/09/1990,599.115,7.4,"[80, 18]","Crime, Drama",tvshow
Escape to the Country,14/10/2002,599.023,4.864,[10764],Reality,tvshow
Seinfeld,05/07/1989,598.916,8.289,[35],Comedy,tvshow
Friends,22/09/1994,587.25,8.4,[35],Comedy,tvshow
The Rookie,16/10/2018,587.194,8.4,"[80, 18, 35]","Crime, Drama, Comedy",tvshow
Psych,07/07/2006,586.2,7.854,"[35, 18, 9648, 80]","Comedy, Drama, Mystery, Crime",tvshow
09/01/2001,03/01/2018,585.226,8.213,"[18, 80, 10759]","Drama, Crime, Action & Adventure",tvshow
Shōgun,27/02/2024,583.755,8.562,"[18, 10768]","Drama, War & Politics",tvshow
Shōgun,27/02/2024,583.755,8.562,"[18, 10768]","Action & Adventure, Drama, War & Politics",tvshow
Shōgun,27/02/2024,583.755,8.562,"[18, 10768]","Action & Adventure, Drama, War & Politics",tvshow
Shōgun,15/09/1980,170.258,7.6,"[10759, 18, 10768]","Drama, War & Politics",tvshow
Shōgun,15/09/1980,170.258,7.6,"[10759, 18, 10768]","Action & Adventure, Drama, War & Politics",tvshow
Shōgun,15/09/1980,170.258,7.6,"[10759, 18, 10768]","Action & Adventure, Drama, War & Politics",tvshow
The Graham Norton Show,22/02/2007,583.567,7.096,"[35, 10767]","Comedy, Talk",tvshow
The Graham Norton Show,22/02/2007,583.567,7.096,"[35, 10767]","Comedy, Talk",tvshow
Modern Family,23/09/2009,577.587,7.85,[35],Comedy,tvshow
The Walking Dead,31/10/2010,576.69,8.116,"[10759, 18, 10765]","Action & Adventure, Drama, Sci-Fi & Fantasy",tvshow
Monk,12/07/2002,575.652,7.9,"[35, 80, 18, 9648]","Comedy, Crime, Drama, Mystery",tvshow
Reacher,03/02/2022,573.718,8.085,"[10759, 80, 18]","Action & Adventure, Crime, Drama",tvshow
Grimm,28/10/2011,566.806,8.282,"[18, 9648, 10765]","Drama, Mystery, Sci-Fi & Fantasy",tvshow
Columbo,15/09/1971,550.069,8.059,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
Two and a Half Men,22/09/2003,548.707,7.453,[35],Comedy,tvshow
South Park,13/08/1997,548.365,8.36,"[16, 35]","Animation, Comedy",tvshow
Hawaii Five-0,20/09/2010,545.816,7.733,"[80, 18, 10759]","Crime, Drama, Action & Adventure",tvshow
Hell's Kitchen,30/05/2005,543.414,6.863,[10764],Reality,tvshow
Hell's Kitchen,23/05/2004,50.741,6.0,[10764],Reality,tvshow
CSI: Crime Scene Investigation,06/10/2000,541.853,7.623,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
The Orville,10/09/2017,538.735,7.583,"[18, 35, 10765]","Drama, Comedy, Sci-Fi & Fantasy",tvshow
American Horror Story,05/10/2011,536.287,8.1,"[18, 9648, 10765]","Drama, Mystery, Sci-Fi & Fantasy",tvshow
The X-Files,10/09/1993,535.213,8.4,"[80, 18, 9648, 10765]","Crime, Drama, Mystery, Sci-Fi & Fantasy",tvshow
Midsomer Murders,23/03/1997,533.829,7.567,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
This Is Us,20/09/2016,525.78,8.243,[18],Drama,tvshow
Smallville,16/10/2001,524.028,8.223,"[10765, 10759, 18]","Sci-Fi & Fantasy, Action & Adventure, Drama",tvshow
Star Trek: Voyager,16/01/1995,521.423,7.8,"[10765, 18, 10759]","Sci-Fi & Fantasy, Drama, Action & Adventure",tvshow
Survivor,31/05/2000,517.128,7.377,[10764],Reality,tvshow
Survivor,31/05/2000,517.128,7.377,[10764],Reality,tvshow
Wednesday,23/11/2022,516.476,8.481,"[10765, 9648, 35]","Sci-Fi & Fantasy, Mystery, Comedy",tvshow
The Expanse,14/12/2015,513.784,8.052,"[18, 9648, 10765]","Drama, Mystery, Sci-Fi & Fantasy",tvshow
NCIS: Los Angeles,22/09/2009,511.621,7.5,"[10759, 18, 80, 9648]","Action & Adventure, Drama, Crime, Mystery",tvshow
You,09/09/2018,511.157,8.062,[18],Drama,tvshow
Fringe,09/09/2008,502.171,8.132,"[10765, 18, 9648]","Sci-Fi & Fantasy, Drama, Mystery",tvshow
Riverdale,26/01/2017,501.613,8.459,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
Fear the Walking Dead,23/08/2015,494.673,7.674,"[10759, 18]","Action & Adventure, Drama",tvshow
Archer,17/09/2009,494.667,7.933,"[35, 10759, 16]","Comedy, Action & Adventure, Animation",tvshow
Endeavour,14/04/2013,492.612,8.066,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
Star Trek: Enterprise,26/09/2001,491.237,7.573,"[10765, 10759, 18]","Sci-Fi & Fantasy, Action & Adventure, Drama",tvshow
The Witcher,20/12/2019,485.654,8.086,"[10765, 18, 10759]","Sci-Fi & Fantasy, Drama, Action & Adventure",tvshow
Twin Peaks,08/04/1990,483.112,8.3,"[18, 9648]","Drama, Mystery",tvshow
Star Trek: Deep Space Nine,03/01/1993,482.804,7.9,"[10765, 10759, 18]","Sci-Fi & Fantasy, Action & Adventure, Drama",tvshow
Ray Donovan,30/06/2013,482.073,7.489,[18],Drama,tvshow
Stranger Things,15/07/2016,480.112,8.611,"[18, 10765, 9648]","Drama, Sci-Fi & Fantasy, Mystery",tvshow
Charmed,07/10/1998,477.833,8.192,"[35, 18, 9648, 10765]","Comedy, Drama, Mystery, Sci-Fi & Fantasy",tvshow
Charmed,07/10/1998,477.833,8.192,"[35, 18, 9648, 10765]","Drama, Sci-Fi & Fantasy",tvshow
Charmed,14/10/2018,115.914,7.307,"[18, 10765]","Comedy, Drama, Mystery, Sci-Fi & Fantasy",tvshow
Charmed,14/10/2018,115.914,7.307,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
Yellowstone,20/06/2018,473.53,8.19,"[37, 18]","Western, Drama",tvshow
Let's Make a Deal,05/10/2009,470.132,5.0,[10764],Reality,tvshow
Let's Make a Deal,05/10/2009,470.132,5.0,[10764],,tvshow
Let's Make a Deal,30/12/1963,60.578,8.0,[],Reality,tvshow
Let's Make a Deal,30/12/1963,60.578,8.0,[],,tvshow
Dark Matter,07/05/2024,467.389,7.9,"[18, 9648, 10765]","Drama, Mystery, Sci-Fi & Fantasy",tvshow
Dark Matter,07/05/2024,467.389,7.9,"[18, 9648, 10765]","Sci-Fi & Fantasy, Drama",tvshow
Dark Matter,12/06/2015,354.164,6.695,"[10765, 18]","Drama, Mystery, Sci-Fi & Fantasy",tvshow
Dark Matter,12/06/2015,354.164,6.695,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
Craig of the Creek,30/03/2018,466.467,8.3,"[16, 35, 10759, 18, 10751]","Animation, Comedy, Action & Adventure, Drama, Family",tvshow
Scandal,05/04/2012,462.206,7.145,[18],Drama,tvshow
LIVE with Kelly and Mark,05/09/1988,461.888,5.4,[10767],Talk,tvshow
Guy's Grocery Games,20/10/2013,460.385,5.564,[10764],Reality,tvshow
Law & Order: Criminal Intent,30/09/2001,459.864,7.558,[18],Drama,tvshow
Law & Order: Criminal Intent,30/09/2001,459.864,7.558,[18],Drama,tvshow
Outlander,09/08/2014,458.46,8.201,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
Big Brother,05/07/2000,457.73,4.954,[10764],Reality,tvshow
Big Brother,05/07/2000,457.73,4.954,[10764],Reality,tvshow
Big Brother,05/07/2000,457.73,4.954,[10764],Reality,tvshow
Big Brother,05/07/2000,457.73,4.954,[10764],Reality,tvshow
Big Brother,05/07/2000,457.73,4.954,[10764],Reality,tvshow
Big Brother,18/07/2000,431.651,3.745,[10764],Reality,tvshow
Big Brother,18/07/2000,431.651,3.745,[10764],Reality,tvshow
Big Brother,18/07/2000,431.651,3.745,[10764],Reality,tvshow
Big Brother,18/07/2000,431.651,3.745,[10764],Reality,tvshow
Big Brother,18/07/2000,431.651,3.745,[10764],Reality,tvshow
Big Brother,23/04/2001,103.468,3.9,[10764],Reality,tvshow
Big Brother,23/04/2001,103.468,3.9,[10764],Reality,tvshow
Big Brother,23/04/2001,103.468,3.9,[10764],Reality,tvshow
Big Brother,23/04/2001,103.468,3.9,[10764],Reality,tvshow
Big Brother,23/04/2001,103.468,3.9,[10764],Reality,tvshow
Breaking Bad,20/01/2008,457.049,8.909,"[18, 80]","Drama, Crime",tvshow
Marvel's Daredevil,10/04/2015,455.551,8.165,"[80, 18, 10759]","Crime, Drama, Action & Adventure",tvshow
The Mentalist,23/09/2008,452.487,8.367,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
Spartacus,22/01/2010,452.227,8.0,[18],Drama,tvshow
